Source,Target
25,1
27,1
33,1
37,1
45,1
57,1
89,1
101,1
103,1
105,1
109,1
115,1
3,2
6,2
13,2
14,2
15,2
47,2
60,2
64,2
72,2
74,2
100,2
106,2
2,3
5,3
11,3
26,3
40,3
52,3
58,3
72,3
74,3
81,3
84,3
102,3
5,4
9,4
16,4
23,4
28,4
41,4
69,4
93,4
104,4
108,4
115,4
3,5
4,5
10,5
11,5
52,5
74,5
81,5
84,5
90,5
97,5
98,5
107,5
2,6
7,6
32,6
39,6
47,6
55,6
58,6
60,6
64,6
85,6
100,6
106,6
6,7
8,7
21,7
22,7
40,7
68,7
73,7
77,7
78,7
82,7
108,7
111,7
7,8
9,8
21,8
22,8
41,8
51,8
68,8
77,8
78,8
90,8
111,8
4,9
8,9
16,9
22,9
23,9
41,9
64,9
93,9
104,9
108,9
115,9
5,10
11,10
60,10
72,10
74,10
81,10
84,10
98,10
102,10
107,10
3,11
5,11
10,11
24,11
28,11
50,11
69,11
90,11
97,11
104,11
13,12
14,12
17,12
18,12
26,12
34,12
36,12
38,12
43,12
85,12
2,13
12,13
15,13
32,13
39,13
45,13
60,13
64,13
100,13
106,13
110,13
2,14
12,14
15,14
26,14
38,14
43,14
54,14
71,14
85,14
99,14
2,15
13,15
14,15
32,15
39,15
47,15
60,15
68,15
92,15
100,15
106,15
114,15
4,16
9,16
17,16
23,16
38,16
41,16
67,16
81,16
93,16
104,16
115,16
12,17
16,17
20,17
27,17
58,17
62,17
65,17
87,17
95,17
96,17
113,17
12,18
19,18
31,18
34,18
36,18
38,18
42,18
54,18
61,18
71,18
99,18
18,19
29,19
30,19
33,19
35,19
36,19
44,19
55,19
79,19
94,19
101,19
17,20
21,20
36,20
62,20
65,20
70,20
75,20
76,20
87,20
96,20
113,20
7,21
8,21
20,21
22,21
32,21
46,21
51,21
68,21
77,21
108,21
111,21
7,22
8,22
9,22
21,22
23,22
47,22
51,22
68,22
77,22
78,22
108,22
4,23
9,23
16,23
22,23
41,23
78,23
90,23
93,23
104,23
111,23
115,23
11,24
25,24
28,24
50,24
66,24
69,24
84,24
87,24
90,24
110,24
1,25
24,25
33,25
37,25
45,25
53,25
89,25
103,25
105,25
106,25
109,25
3,26
12,26
14,26
27,26
34,26
38,26
42,26
43,26
61,26
85,26
1,27
17,27
26,27
56,27
62,27
63,27
65,27
70,27
76,27
95,27
96,27
4,28
11,28
24,28
38,28
50,28
69,28
78,28
90,28
113,28
19,29
30,29
35,29
42,29
55,29
79,29
80,29
82,29
91,29
94,29
101,29
19,30
29,30
35,30
44,30
50,30
55,30
79,30
82,30
94,30
101,30
109,30
18,31
32,31
34,31
43,31
54,31
55,31
61,31
